number,label,grouping_id,definition,linked_moa_ids,note
1.1,Goal setting (behavior),GP,Set or agree on a goal defined in terms of the behavior to be achieved.,behavioral-regulation,"Note: only code goal-setting if there is sufficient evidence that goal set as part of intervention; if goal unspecified or a behavioral outcome, code 1.3, Goal setting (outcome); if the goal defines a specific context, frequency, duration or intensity for the behavior, also code 1.4, Action planning"
1.2,Problem solving,GP,"Analyse, or prompt the person to analyse, factors influencing the behavior and generate or select strategies that include overcoming barriers and/or increasing facilitators (includes ‘Relapse Prevention’ and ‘Coping Planning’)",beliefs-about-capabilities; environmental-context-and-resources; skills,"Note: barrier identification without solutions is not sufficient. If the BCT does not include analysing the behavioral problem, consider 12.3, Avoidance/changing exposure to cues for the behavior, 12.1, Restructuring the physical environment, 12.2, Restructuring the social environment, or 11.2, Reduce negative emotions"
1.3,Goal setting (outcome),GP,Set or agree on a goal defined in terms of a positive outcome of wanted behavior.,goals,"Note: only code guidelines if set as a goal in an intervention context; if goal is abehavior, code 1.1, Goal setting(behavior); if goal unspecified code 1.3,Goal setting (outcome)"
1.4,Action planning,GP,"Prompt detailed planning of performance of the behavior (must include at least one of context, frequency, duration and intensity). Context may be environmental (physical or social) or internal (physical, emotional or cognitive) (includes ‘Implementation Intentions’)",behavioral-regulation,"Note: evidence of action planning does notnecessarily imply goal setting, only codelatter if sufficient evidence"
1.5,Review behavior goal(s),GP,"Review behavior goal(s) jointly with the person and consider modifying goal(s) or behavior change strategy in light ofachievement. This may lead to re-settingthe same goal, a small change in that goalor setting a new goal instead of (or inaddition to) the first, or no change",,"Note: if goal specified in terms ofbehavior, code 1.5, Review behaviorgoal(s), if goal unspecified, code 1.7,Review outcome goal(s); if discrepancycreated consider also 1.6, Discrepancybetween current behavior and goal"
1.6,Discrepancy between current behavior and goal,GP,"Draw attention to discrepancies between a person’s current behavior (in terms of the form, frequency, duration, or intensity of that behavior) and the person’s previously set outcome goals, behavioral goals or action plans (goes beyond self-monitoring of behavior)",behavioral-regulation; goals,"Note: if discomfort is created only code 13.3, Incompatible beliefs and not 1.6, Discrepancy between current behavior and goal; if goals are modified, also code 1.5, Review behavior goal(s) and/or 1.7,Review outcome goal(s); if feedback is provided, also code 2.2, Feedback on behaviour"
1.7,Review outcome goal(s),GP,"Review outcome goal(s) jointly with the person and consider modifying goal(s) in light of achievement. This may lead to re-setting the same goal, a small change in that goal or setting a new goal instead of, or in addition to the first",goals,"Note: if goal specified in terms ofbehavior, code 1.5, Review behaviorgoal(s), if goal unspecified, code 1.7,Review outcome goal(s); if discrepancycreated consider also 1.6, Discrepancybetween current behavior and goal"
1.8,Behavioral contract,GP,"Create a written specification of the behavior to be performed, agreed on by the person, and witnessed by another",goals,"Note: also code 1.1, Goal setting(behavior)"
1.9,Commitment,GP,Ask the person to affirm or reaffirm statements indicating commitment to change the behavior,values,"Note: if defined in terms of the behavior tobe achieved also code 1.1, Goal setting (behavior)"
2.1,Monitoring of behavior by others without feedback,FM,Observe or record behavior with the person’s knowledge as part of a behavior change strategy,needs; social-influences,"Note: if monitoring is part of a data collection procedure rather than a strategy aimed at changing behavior, do not code; if feedback given, code only 2.2, Feedback on behavior, and not 2.1,Monitoring of behavior by others withoutfeedback; if monitoring outcome(s) code2.5, Monitoring outcome(s) of behaviorby others without feedback; if self-monitoring behavior, code 2.3, Self-monitoring of behaviour"
2.2,Feedback on behavior,FM,"Monitor and provide informative or evaluative feedback on performance of the behavior (e.g. form, frequency, duration, intensity)",knowledge; subjective-norms,"Note: if Biofeedback, code only 2.6,Biofeedback and not 2.2, Feedback onbehavior; if feedback is on outcome(s) ofbehavior, code 2.7, Feedback onoutcome(s) of behavior; if there is no clearevidence that feedback was given, code2.1, Monitoring of behavior by otherswithout feedback; if feedback onbehaviour is evaluative e.g. praise, alsocode 10.4, Social reward"
2.3,Self-monitoring of behavior,FM,Establish a method for the person to monitor and record their behavior(s) as part of a behavior change strategy,behavioral-regulation,"Note: if monitoring is part of a datacollection procedure rather than astrategy aimed at changing behavior, donot code; if monitoring of outcome ofbehavior, code 2.4, Self-monitoring ofoutcome(s) of behavior; if monitoring isby someone else (without feedback), code2.1, Monitoring of behavior by otherswithout feedback"
2.4,Self-monitoring of outcome(s) of behavior,FM,Establish a method for the person to monitor and record the outcome(s) of their behavior as part of a behavior change strategy,behavioral-regulation,"Note: if monitoring is part of a datacollection procedure rather than astrategy aimed at changing behavior, donot code ; if monitoring behavior, code2.3, Self-monitoring of behavior; ifmonitoring is by someone else (withoutfeedback), code 2.5, Monitoringoutcome(s) of behavior by others withoutfeedback"
2.5,Monitoring outcome(s) of behavior by others without feedback,FM,Observe or record outcomes of behavior with the person’s knowledge as part of a behavior change strategy,,"Note: if monitoring is part of a data collection procedure rather than a strategy aimed at changing behavior, donot code; if feedback given, code only 2.7,Feedback on outcome(s) of behavior; ifmonitoring behavior code 2.1, Monitoringof behavior by others without feedback; ifself-monitoring outcome(s), code 2.4, Self-monitoring of outcome(s) of behavior"
2.6,Biofeedback,FM,"Provide feedback about the body (e.g. physiological or biochemical state) using an external monitoring device as part of a behavior change strategy Note: if Biofeedback, code only 2.6, Biofeedback and not 2.2, Feedback on behavior or 2.7, Feedback on outcome(s) of behaviour",,
2.7,Feedback on outcome(s) of behavior,FM,Monitor and provide feedback on the outcome of performance of the behavior.,feedback-processes; subjective-norms,"Note: if Biofeedback, code only 2.6,Biofeedback and not 2.7, Feedback onoutcome(s) of behavior; if feedback is onbehavior code 2.2, Feedback on behavior;if there is no clear evidence that feedbackwas given code 2.5, Monitoringoutcome(s) of behavior by others withoutfeedback; if feedback on behaviour isevaluative e.g. praise, also code 10.4,Social reward"
3.1,Social support (unspecified),SS,"Advise on, arrange or provide social support (e.g. from friends, relatives, colleagues,’ buddies’ or staff) or non-contingent praise or reward for performance of the behavior. It includes encouragement and counselling, but only when it is directed at the behavior",social-professional-role-and-identity; social-influences,"Note: attending a group class and/ormention of ‘follow-up’ does not necessarilyapply this BCT, support must be explicitlymentioned; if practical, code 3.2, Socialsupport (practical); if emotional, code 3.3,Social support (emotional) (includes‘Motivational interviewing’ and‘Cognitive Behavioral Therapy’)"
3.2,Social support (practical),SS,"Advise on, arrange, or provide practical help (e.g. from friends, relatives, colleagues, ‘buddies’ or staff) for performance of the behavior",environmental-context-and-resources; social-influences,"Note: if emotional, code 3.3, Social support (emotional); if general or unspecified, code 3.1, Social support(unspecified) If only restructuring thephysical environment or adding objects tothe environment, code 12.1, Restructuringthe physical environment or 12.5, Addingobjects to the environment; attending agroup or class and/or mention of ‘follow-up’ does not necessarily apply this BCT,support must be explicitly mentioned."
3.3,Social support (emotional),SS,"Advise on, arrange, or provide emotional social support (e.g. from friends, relatives, colleagues, ‘buddies’ or staff) for performance of the behavior Note: if practical, code 3.2, Social support (practical); if unspecified, code 3.1, Social support (unspecified)",,
4.1,Instruction on how to perform a behavior,SK,"Advise or agree on how to perform the behavior (includes ‘Skills training’) Note: when the person attends classes such as exercise or cookery, code 4.1, Instruction on how to perform the behavior, 8.1, Behavioral practice/rehearsal and 6.1, Demonstration of the behavior",knowledge; skills,
4.2,Information about antecedents,SK,"Provide information about antecedents (e.g. social and environmental situations and events, emotions, cognitions) that reliably predict performance of the behaviour",,
4.3,Re-attribution,SK,Elicit perceived causes of behavior and suggest alternative explanations (e.g. external or internal and stable or unstable),,
4.4,Behavioral experiments,SK,"Advise on how to identify and test hypotheses about the behavior, its causes and consequences, by collecting and interpreting data",,
5.1,Information about health consequences,NC,"Provide information (e.g. written, verbal, visual) about health consequences of performing the behavior",attitude; beliefs-about-consequences; intention; knowledge; perceived-susceptibility-vulnerability,"Note: consequences can be for any target,not just the recipient(s) of theintervention; emphasising importance ofconsequences is not sufficient; ifinformation about emotionalconsequences, code 5.6, Informationabout emotional consequences; if aboutsocial, environmental or unspecifiedconsequences code 5.3, Informationabout social and environmentalconsequences"
5.2,Salience of consequences,NC,"Use methods specifically designed to emphasise the consequences of performing the behaviour with the aim of making them more memorable (goes beyond informing about consequences) Note: if information about consequences, also code 5.1, Information about health consequences, 5.6, Information about emotional consequences or 5.3, Information about social and environmental consequences",attitude,
5.3,Information about social and environmental consequences,NC,"Provide information (e.g. written, verbal, visual) about social and environmental consequences of performing the behavior",attitude; beliefs-about-consequences; knowledge,"Note: consequences can be for any target,not just the recipient(s) of theintervention; if information about healthor consequences, code 5.1, Informationabout health consequences; if aboutemotional consequences, code 5.6,Information about emotionalconsequences; if unspecified, code 5.3,Information about social andenvironmental consequences"
5.4,Monitoring of emotional consequences,NC,Prompt assessment of feelings after attempts at performing the behavior,,
5.5,Anticipated regret,NC,Induce or raise awareness of expectations of future regret about performance of the unwanted behavior,emotion,"Note: not including 5.6, Information about emotional consequences; if suggests adoption of a perspective or new perspective in order to change cognitions also code 13.2, Framing/reframing"
5.6,Information about emotional consequences,NC,"Provide information (e.g. written, verbal, visual) about emotional consequences of performing the behavior Note: consequences can be related to emotional health disorders (e.g. depression, anxiety) and/or states of mind (e.g. low mood, stress); not including 5.5, Anticipated regret; consequences can be for any target, not just the recipient(s) of the intervention; if information about health consequences code 5.1, Information about health consequences; if about social, environmental or unspecified code 5.3, Information about social and environmental consequences",attitude; beliefs-about-consequences; emotion,
6.1,Demonstration of the behavior,CB,"Provide an observable sample of the performance of the behaviour, directly in person or indirectly e.g. via film, pictures, for the person to aspire to or imitate (includes ‘Modelling’)",beliefs-about-capabilities; social-learning-imitation; skills,"Note: if advised topractice, also code, 8.1, Behaviouralpractice and rehearsal; If provided withinstructions on how to perform, also code4.1, Instruction on how to perform thebehaviour"
6.2,Social comparison,CB,Draw attention to others’ performance to allow comparison with the person’s own performance,subjective-norms; social-influences,Note: being in a group setting does not necessarily mean that social comparison is actually taking place
6.3,Information about others’ approval,CB,"Provide information about what other people think about the behavior. The information clarifies whether others will like, approve or disapprove of what the person is doing or will do",intention; subjective-norms,
7.1,Prompts/cues,AS,Introduce or define environmental or social stimulus with the purpose of prompting or cueing the behavior. The prompt or cue would normally occur at the time or place of performance.,behavioral-cueing; environmental-context-and-resources; memory-attention-and-decision-processes,"Note: when a stimulus is linked to a specific action in an if-then plan including one or more of frequency, duration or intensity also code 1.4, Action planning."
7.2,Cue signalling reward,AS,Identify an environmental stimulus that reliably predicts that reward will follow the behavior (includes ‘Discriminative cue’),,
7.3,Reduce prompts/cues,AS,Withdraw gradually prompts to perform the behavior (includes ‘Fading’),,
7.4,Remove access to the reward,AS,Advise or arrange for the person to be separated from situations in which unwanted behavior can be rewarded in order to reduce the behavior (includes ‘Time out’),,
7.5,Remove aversive stimulus,AS,Advise or arrange for the removal of an aversive stimulus to facilitate behavior change (includes ‘Escape learning’),,
7.6,Satiation,AS,Advise or arrange repeated exposure to a stimulus that reduces or extinguishes a drive for the unwanted behavior,,
7.7,Exposure,AS,Provide systematic confrontation with a feared stimulus to reduce the response to a later encounter,,
7.8,Associative learning,AS,Present a neutral stimulus jointly with a stimulus that already elicits the behavior repeatedly until the neutral stimulus elicits that behavior (includes ‘Classical/Pavlovian Conditioning’),reinforcement,"Note: when a BCT involves reward orpunishment, code one or more of: 10.2,Material reward (behavior); 10.3, Non-specific reward; 10.4, Social reward, 10.9,Self-reward; 10.10, Reward (outcome)"
8.1,Behavioral practice/rehearsal,RS,"Prompt practice or rehearsal of the performance of the behavior one or more times in a context or at a time when the performance may not be necessary, in order to increase habit and skill",beliefs-about-capabilities; skills,"Note: if aiming to associate performance with the context, also code 8.3, Habit formation"
8.2,Behavior substitution,RS,Prompt substitution of the unwanted behavior with a wanted or neutral behavior.,behavioral-regulation,
8.3,Habit formation,RS,Prompt rehearsal and repetition of the behavior in the same context repeatedly so that the context elicits the behavior,behavioral-cueing; behavioral-regulation,"Note: also code 8.1, Behavioralpractice/rehearsal"
8.4,Habit reversal,RS,"Prompt rehearsal and repetition of an alternative behavior to replace an unwanted habitual behavior Note: also code 8.2, Behavior substitution",behavioral-cueing; behavioral-regulation; memory-attention-and-decision-processes,
8.5,Overcorrection,RS,Ask to repeat the wanted behavior in an exaggerated way following an unwanted behaviour,,
8.6,Generalisation of a target behavior,RS,"Advise to perform the wanted behaviour, which is already performed in a particular situation, in another situation",skills,
8.7,Graded tasks,RS,"Set easy-to-perform tasks, making them increasingly difficult, but achievable, until behavior is performed",beliefs-about-capabilities,
9.1,Credible source,CO,Present verbal or visual communication from a credible source in favour of or against the behavior,general-attitudes-beliefs; social-professional-role-and-identity,"Note: code this BCT if source generally agreed on as credible e.g., health professionals, celebrities or words used to indicate expertise or leader in field and if the communication has the aim of persuading; if information about health consequences, also code 5.1, Information a bout health consequences, if about emotional consequences, also code 5.6,Information about emotional consequences; if about social, environmental or unspecified consequences also code 5.3, Information about social and environmental consequences"
9.2,Pros and cons,CO,Advise the person to identify and compare reasons for wanting (pros) and not wanting to (cons) change the behavior (includes ‘Decisional balance’),attitude; beliefs-about-consequences; feedback-processes; motivation,"Note: if providing information about health consequences, also code 5.1,Information about health consequences;if providing information about emotionalconsequences, also code 5.6, Informationabout emotional consequences; ifproviding information about social,environmental or unspecifiedconsequences also code 5.3, Informationabout social and environmentalconsequences"
9.3,Comparative imagining of future outcomes,CO,Prompt or advise the imagining and comparing of future outcomes of changed versus unchanged behaviour,beliefs-about-consequences,
10.1,Material incentive (behavior),RT,"Inform that money, vouchers or other valued objects will be delivered if and only if there has been effort and/or progress in performing the behavior (includes ‘Positive reinforcement’)",attitude,"Note: if incentive is social, code 10.5,Social incentive if unspecified code 10.6,Non-specific incentive, and not 10.1,Material incentive (behavior); if incentiveis for outcome, code 10.8, Incentive(outcome). If reward is delivered also codeone of: 10.2, Material reward (behavior);10.3, Non-specific reward; 10.4, Socialreward, 10.9, Self-reward; 10.10, Reward(outcome)"
10.10,Reward (outcome),RT,"Arrange for the delivery of a reward if andonly if there has been effort and/orprogress in achieving the behavioraloutcome (includes ‘Positivereinforcement’)Note: this includes social, material, self-and non-specific rewards for outcome; ifreward is for the behavior code 10.4,Social reward, 10.2, Material reward(behavior), 10.3, Non-specific reward or10.9, Self-reward and not 10.10, Reward(outcome). If informed of reward inadvance of rewarded behaviour, also codeone of: 10.1, Material incentive(behaviour); 10.5, Social incentive; 10.6,Non-specific incentive; 10.7, Self-incentive; 10.8, Incentive (outcome)",,
10.11,Future punishment,RT,"A scheduled punishment in case of lack of commitment to habit. This punishment can be financial, material or social.",,
10.2,Material reward (behavior),RT,"Arrange for the delivery of money, vouchers or other valued objects if and only if there has been effort and/or progress in performing the behavior (includes ‘Positive reinforcement’) Note: If reward is social, code 10.4, Social reward, if unspecified code 10.3, Non-specific reward, and not 10.1, Material reward (behavior); if reward is for outcome, code 10.10, Reward (outcome). If informed of reward in advance of rewarded behaviour, also code one of: 10.1, Material incentive (behaviour); 10.5, Social incentive; 10.6, Non-specific incentive; 10.7, Self-incentive; 10.8, Incentive (outcome)",,
10.3,Non-specific reward,RT,Arrange delivery of a reward if and only if there has been effort and/or progress in performing the behavior (includes ‘Positive reinforcement’),reinforcement,"Note: if reward is material, code 10.2,Material reward (behavior), if social, code10.4, Social reward, and not 10.3, Non-specific reward; if reward is for outcomecode 10.10, Reward (outcome). Ifinformed of reward in advance ofrewarded behaviour, also code one of:10.1, Material incentive (behaviour);10.5, Social incentive; 10.6, Non-specificincentive; 10.7, Self-incentive; 10.8,Incentive (outcome)"
10.4,Social reward,RT,Arrange verbal or non-verbal reward if and only if there has been effort and/or progress in performing the behavior (includes ‘Positive reinforcement’),reinforcement,"Note: if reward is material, code 10.2,Material reward (behavior), if unspecifiedcode 10.3, Non-specific reward, and not10.4, Social reward; if reward is foroutcome code 10.10, Reward (outcome).If informed of reward in advance ofrewarded behaviour, also code one of:10.1, Material incentive (behaviour);10.5, Social incentive; 10.6, Non-specificincentive; 10.7, Self-incentive; 10.8,Incentive (outcome)"
10.5,Social incentive,RT,Inform that a verbal or non-verbal reward will be delivered if and only if there has been effort and/or progress in performing the behavior (includes ‘Positive reinforcement’),,"Note: if incentive is material, code 10.1,Material incentive (behavior), ifunspecified code 10.6, Non-specificincentive, and not 10.5, Social incentive; ifincentive is for outcome code 10.8,Incentive (outcome). If reward is deliveredalso code one of: 10.2, Material reward(behavior); 10.3, Non-specific reward;10.4, Social reward, 10.9, Self-reward;10.10, Reward (outcome)"
10.6,Non-specific incentive,RT,"Inform that a reward will be delivered if and only if there has been effort and/or progress in performing the behavior (includes ‘Positive reinforcement’) Note: if incentive is material, code 10.1, Material incentive (behavior), if social, code 10.5, Social incentive and not 10.6, Non-specific incentive; if incentive is for outcome code 10.8, Incentive (outcome). If reward is delivered also code one of: 10.2, Material reward (behavior); 10.3, Non-specific reward; 10.4, Social reward, 10.9, Self-reward; 10.10, Reward (outcome)",,
10.7,Self-incentive,RT,Plan to reward self in future if and only if there has been effort and/or progress in performing the behavior,motivation,"Note: if self-reward is material, also code10.1, Material incentive (behavior), ifsocial, also code 10.5, Social incentive, ifunspecified, also code 10.6, Non-specificincentive; if incentive is for outcome code10.8, Incentive (outcome). If reward isdelivered also code one of: 10.2, Materialreward (behavior); 10.3, Non-specificreward; 10.4, Social reward, 10.9, Self-reward; 10.10, Reward (outcome)"
10.8,Incentive (outcome),RT,"Inform that a reward will be delivered if and only if there has been effort and/or progress in achieving the behavioural outcome (includes ‘Positive reinforcement’) Note: this includes social, material, self-and non-specific incentives for outcome; if incentive is for the behavior code 10.5, Social incentive, 10.1, Material incentive (behavior), 10.6, Non-specific incentive or 10.7, Self-incentive and not 10.8, Incentive (outcome). If reward is delivered also code one of: 10.2, Material reward (behavior); 10.3, Non-specific reward; 10.4, Social reward, 10.9, Self-reward; 10.10, Reward (outcome)",,
10.9,Self-reward,RT,"Prompt self-praise or self-reward if and only if there has been effort and/or progress in performing the behavior Note: if self-reward is material, also code 10.2, Material reward (behavior), if social, also code 10.4, Social reward, if unspecified, also code 10.3, Non-specific reward; if reward is for outcome code 10.10, Reward (outcome). If informed of reward in advance of rewarded behaviour, also code one of: 10.1, Material incentive (behaviour); 10.5, Social incentive; 10.6, Non-specific incentive; 10.7, Self-incentive; 10.8, Incentive (outcome)",,
11.1,Pharmacological support,R,"Provide, or encourage the use of or adherence to, drugs to facilitate behavior change",,
11.2,Reduce negative emotions,R,Advise on ways of reducing negative emotions to facilitate performance of the behavior (includes ‘Stress Management’),beliefs-about-capabilities,"Note: if includes analysing the behavioural problem, also code 1.2, Problem solving"
11.3,Conserving mental resources,R,Advise on ways of minimising demands on mental resources to facilitate behavior change,,
11.4,Paradoxical instructions,R,Advise to engage in some form of the unwanted behavior with the aim of reducing motivation to engage in that behaviour,,
12.1,Restructuring the physical environment,AN,"Change, or advise to change the physical environment in order to facilitate performance of the wanted behavior or create barriers to the unwanted behavior (other than prompts/cues, rewards and punishments)",behavioral-cueing; environmental-context-and-resources,"Note: this may also involve 12.3,Avoidance/reducing exposure to cues forthe behavior; if restructuring of the socialenvironment code 12.2, Restructuring thesocial environment;if only adding objects to the environment,code 12.5, Adding objects to theenvironment"
12.2,Restructuring the social environment,AN,"Change, or advise to change the social environment in order to facilitate performance of the wanted behavior or create barriers to the unwanted behavior (other than prompts/cues, rewards and punishments) Note: this may also involve 12.3, Avoidance/reducing exposure to cues for the behavior; if also restructuring of the physical environment also code 12.1, Restructuring the physical environment",environmental-context-and-resources; social-influences,
12.3,Avoidance/reducing exposure to cues for the behavior,AN,"Advise on how to avoid exposure to specific social and contextual/physical cues for the behavior, including changing daily or weekly routines Note: this may also involve 12.1, Restructuring the physical environment and/or 12.2, Restructuring the social environment; if the BCT includes analysing the behavioral problem, only code 1.2, Problem solving",needs,
12.4,Distraction,AN,Advise or arrange to use an alternative focus for attention to avoid triggers for unwanted behaviour,,
12.5,Adding objects to the environment,AN,"Add objects to the environment in order to facilitate performance of the behavior Note: Provision of information (e.g. written, verbal, visual) in a booklet or leaflet is insufficient. If this is accompanied by social support, also code 3.2, Social support (practical); if the environment is changed beyond the addition of objects, also code 12.1, Restructuring the physical environment",environmental-context-and-resources,
12.6,Body changes,AN,"Alter body structure, functioning or support directly to facilitate behavior change",,
13.1,Identification of self as role models,I,Inform that one's own behavior may be an example to others,self-image,
13.2,Framing/reframing,I,Suggest the deliberate adoption of a perspective or new perspective on behavior (e.g. its purpose) in order to change cognitions or emotions about performing the behavior (includes ‘Cognitive structuring’),attitude; self-image,"If informationabout consequences then code 5.1,Information about health consequences,5.6, Information about emotionalconsequences or 5.3, Information aboutsocial and environmental consequencesinstead of 13.2, Framing/reframing"
13.3,Incompatible beliefs,I,"Draw attention to discrepancies between current or past behavior and self-image, in order to create discomfort (includes ‘Cognitive dissonance’)",attitude,
13.4,Valued self-identity,I,Advise the person to write or complete rating scales about a cherished value or personal strength as a means of affirming the person’s identity as part of a behavior change strategy (includes ‘Self-affirmation’),,
13.5,Identity associated with changed behavior,I,Advise the person to construct a new self-identity as someone who ‘used to engage with the unwanted behavior’,motivation; values,
14.1,Behavior cost,SC,Arrange for withdrawal of something valued if and only if an unwanted behavior is performed (includes ‘Response cost’).,,"Note if withdrawal of contingent rewardcode, 14.3, Remove reward"
14.1,Remove punishment,SC,Arrange for removal of an unpleasant consequence contingent on performance of the wanted behavior (includes ‘Negative reinforcement’),,
14.2,Punishment,SC,Arrange for aversive consequence contingent on the performance of the unwanted behavior,,
14.3,Remove reward,SC,Arrange for discontinuation of contingent reward following performance of the unwanted behavior (includes ‘Extinction’),,
14.4,Reward approximation,SC,"Arrange for reward following any approximation to the target behavior, gradually rewarding only performance closer to the wanted behavior (includes ‘Shaping’) Note: also code one of 59-63",,
14.5,Rewarding completion,SC,Build up behavior by arranging reward following final component of the behavior; gradually add the components of the behavior that occur earlier in the behavioral sequence (includes ‘Backward chaining’),,"Note: also code one of 10.2, Materialreward (behavior); 10.3, Non-specificreward; 10.4, Social reward, 10.9, Self-reward; 10.10, Reward (outcome)"
14.6,Situation-specific reward,SC,"Arrange for reward following the behavior in one situation but not in another (includes ‘Discrimination training’) Note: also code one of 10.2, Material reward (behavior); 10.3, Non-specific reward; 10.4, Social reward, 10.9, Self-reward; 10.10, Reward (outcome)",,
14.7,Reward incompatible behavior,SC,"Arrange reward for responding in a manner that is incompatible with a previous response to that situation (includes ‘Counter-conditioning’) Note: also code one of 10.2, Material reward (behavior); 10.3, Non-specific reward; 10.4, Social reward, 10.9, Self-reward; 10.10, Reward (outcome)",,
14.8,Reward alternative behavior,SC,"Arrange reward for performance of an alternative to the unwanted behavior (includes ‘Differential reinforcement’) Note: also code one of 10.2, Material reward (behavior); 10.3, Non-specific reward; 10.4, Social reward, 10.9, Self-reward; 10.10, Reward (outcome); consider also coding 1.2, Problem solving",,
14.9,Reduce reward frequency,SC,"Arrange for rewards to be made contingent on increasing duration or frequency of the behavior (includes ‘Thinning’) Note: also code one of 10.2, Material reward (behavior); 10.3, Non-specific reward; 10.4, Social reward, 10.9, Self-reward; 10.10, Reward (outcome)",,
15.1,Verbal persuasion about capability,SB,"Tell the person that they can successfully perform the wanted behavior, arguing against self-doubts and asserting that they can and will succeed",beliefs-about-capabilities,
15.2,Mental rehearsal of successful performance,SB,Advise to practise imagining performing the behavior successfully in relevant contexts,motivation; values,
15.3,Focus on past success,SB,Advise to think about or list previous successes in performing the behavior (or parts of it),beliefs-about-capabilities,
15.4,Self-talk,SB,Prompt positive self-talk (aloud or silently) before and during the behavior,,
16.1,Imaginary punishment,CL,Advise to imagine performing the unwanted behavior in a real-life situation followed by imagining an unpleasant consequence (includes ‘Covert sensitisation’),,
16.2,Imaginary reward,CL,Advise to imagine performing the wanted behavior in a real-life situation followed by imagining a pleasant consequence (includes ‘Covert conditioning’),,
16.3,Vicarious consequences,CL,"Prompt observation of the consequences (including rewards and punishments) for others when they perform the behavior Note: if observation of health consequences, also code 5.1, Information about health consequences; if of emotional consequences, also code 5.6, Information about emotional consequences, if of social, environmental or unspecified consequences, also code 5.3, Information about social and environmental consequences",,